accord	n. 一致,调和,协议，自愿 vi. (与)一致（accord with） vt.使一致，调解；给予，赠予
concord	n. 和睦, 公约
cordial	n. 兴奋剂, 补品 adj. 热忱的, 诚恳的, 兴奋的
discordant	adj. 不一致的(不和谐的)
exculpate	vt. 为某人开脱，证明无罪
inculpate	vt. 使负罪, 控告
mea culpa	n. 我的过失, 我应负的责任
culpable	adj. 该责备的,有罪的,不周到的
diction	n. 措辞，发音
edict	n. 法令，布告
jurisdiction	n. 司法权,审判权,管辖权, 控制权
dictum	n. 格言；声明；法官的附带意见
cognitive	adj. 认知的,认识的,有认识力的
agnostic	n. 不可知论者 adj. 不可知论的，不可知论者的
incognito	adv. 微行, 用假名的 n. 微行者, 匿名者 adj. 微行的, 改名的, 匿名的
prognosis	n. 预知,预测,预后
calligraphy	n. 书法
hagiography	n. 圣徒传, 圣徒言行录
choreography	n. 舞蹈, 舞蹈编排
lithograph	石版画
artful	adj. 狡猾的, 欺诈的, 有技巧的, 巧妙的
artifact	n. 人工制品(制造物,石器)
artifice	n. 技巧, 巧妙, 诡计
artisan	n. 工匠,技工
fortify	vt. 强化，增强，筑防御工事于，（物质或精神上）支持或鼓励 vi. 构建防御工事
fortification	n. 防御工事（尤指堡垒、要塞城墙等）
forte	n. 长处, 特长, 优点 n.[音乐]强音记号
fortitude	n. 刚毅, 坚毅, 不屈不挠
concise	adj. 简明的, 简要的
excise	n. 货物税,国产税 vt. 收税,切除
incisive	adj. 敏锐的,机敏的,激烈的
precision	n. 精确,精密度 adj. 以精准的执行而著称的, 经得起极精细测量的
apiary	n. 养蜂场, 蜂房
caper	n. 跳跃 n. [植物]马槟榔 vi. 雀跃, 蹦跳
equestrian	n. 骑马者, 骑术家 adj. 骑马的，骑术的
lupine	n. 羽扇豆属植物(=lupin) adj. 狼的, 凶猛的, 贪婪的
ovine	adj.绵羊的
ornithologist	n. 鸟类学家
serpentine	adj. 蛇的, 层层卷绕的, 阴险的 n. 蛇纹石, 古时候大炮的一种, S字曲线 vi. 像蛇般行进，缓慢地流
simian	adj. 猿的, 类人猿的, 猴子一般的 n. 猴子, 类人猿
