crypt	n. 土窖, 地穴, (教堂的)地下室 n. [解剖学]小囊，腺窝 pref. 隐藏的，秘密的（=crypto)
encrypt	加密
cryptic	adj. 秘密的(使用密码的, 意义深远的)
cryptography	n. 密码术, 密码系统
abscond	vi. 潜逃, 逃匿
abstemious	adj. 节制的
abstraction	n. 抽象, 抽象概念, 心不在焉
abstruse	adj. 深奥的
pedagogy	n. 教育学, 教授法, 教育
pedant	n. 炫学者,自夸学者的人,空谈家
pediatrician	n. 小儿科医师,
encyclopedic	adj. 百科全书的, 知识渊博的
tropism	n. 向性，趋性
entropy	n. 熵 n.平均信息量 n.一致性，统一性
heliotrope	n. 天芥菜属植物, 该植物的花香, 淡紫色
psychotropic	adj. 治疗精神病的 n. 治疗精神病药物
neoclassic	adj.新古典主义的
Neolithic	adj. 新石器时代的
neoconservative	&lt;美&gt;n.(前自由派在政治上转向保守的) 新保守主义者, 新保守派
neonatal	adj. 新生的，初生的
novice	n. 新手,初学者
novel	adj. 新奇的 n. 小说
innovation	n. 创新, 革新
supernova	n. ［天］超新星
impose	vi. 利用；欺骗；施加影响 vt. 强加；征税；以…欺骗
juxtapose	vt. 并置, 并列
transpose	v. 调换,颠倒顺序,移项
superimpose	vt. 重叠(安装,添加)
tenure	n.占有（职位，不动产等）； 占有期； 终身职位
tenacious	adj. 紧粘不放的, 固执的, 不屈不挠的
tenable	adj. 站得住脚的, 无懈可击的
tenet	n. 教义, 信条; 原则, 宗旨.
monogamous	adj. 一夫一妻的；[动] 单配的
monoculture	n. 单一栽培, 单作
monolithic	adj. 独石的, 完全统一的, 整体的
monotheism	n. 一神论,一神教
unicameral	adj. 一院的, 单院的
unilateral	adj. 单方面的,单边的,片面的,单系的
unison	n. 调和, 和谐, 一致
Unitarian	n. 基督教唯一神教派教徒，非基督徒的一神教者 adj. 单一的，一元的
