median	adj. 中央的, 中间的, 正中的 n. 中动脉, 中位数, 中值
mediate	adj. 居间的,间接的 vt.& vi. 斡旋,调停
intermediary	n. 仲裁者,调解者,媒介物,中间状态 adj. 中间的,媒介的 [计算机] 媒介
mediocrity	n. 平常, 平庸之才
rhomboid	n. 偏菱形, 长斜方形 adj. 长斜方形的(=rhomboidal)
deltoid	adj. 三角形的 n. 三角肌
dendroid	adj.树木状的
humanoid	adj. 具有人类特点的 n. 类人动物，(科幻小说中的)星球人
endoscope	n. 内窥镜，内诊镜
arthroscopy	n.[医]关节(内窥)镜检查
laparoscopy	n. [医]腹腔镜检查
oscilloscope	n. 示波器
transient	adj. 短暂的 n. 短期居留者,瞬间的变化
transfiguration	n.变形,变貌,[宗](耶稣在三个门徒前的)变容
transponder	n. 异频雷达收发机
transcendent	adj. 卓越的 n. 卓越的人
proactive	adj. 先发制人的, 〈心理〉前摄的; 〈自控〉有前瞻性的, 先行一步的
pro bono	adj. 无偿的，为公众利益的
proponent	n. 建议者,支持者
pro forma	adj. 形式的
protrude	v. 使突出，伸出,突出
prophylaxis	n. 预防
promulgate	vt. 发布,公布,发表
prologue	n. 开场白,序言,序幕 v. 说开场的,加上...前言
remorse	n. 懊悔,悔恨 n.
reiterate	vt. 反覆地说,反覆地做
rejuvenate	v. 使...年轻, 使...恢复精神，变年轻
reconcile	vt. 和解,调和,妥协 vi. 调和
reciprocal	adj. 相互的,互惠的,互补的 n. 相互, 互惠 [数］ 倒数
rebut	v. 反驳,　辩驳， 举反证
revoke	vt. 撤回(回想) n. 取消(回想)
regress	v. 倒退，回归，退化 n. 退回 回归，逆向思维
dermal	adj. 皮肤的，真皮的
epidermis	n. 表皮, 上皮
taxidermist	n. 剥制师
dermatitis	n. 皮肤炎
endocrine	adj. 内分泌的 n. 内分泌，内分泌腺
endodontic	adj.[医]牙髓学的
endogenous	adj. 内成的
endorphin	n. 内啡肽
